Профиль №1  с 01.04.2022 по 27.04.2022
Счетчик № 0816190453
Сохранен 27.04.2022 5:46:03

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
04.04.2022	03:00-04:00	000,1433	000,0000	000,0509	000,0000	
04.04.2022	04:00-05:00	000,1547	000,0000	000,0552	000,0000	
04.04.2022	05:00-06:00	000,1542	000,0000	000,0534	000,0000	
04.04.2022	06:00-07:00	000,1610	000,0000	000,0553	000,0000	
04.04.2022	07:00-08:00	000,1612	000,0000	000,0557	000,0000	
04.04.2022	08:00-09:00	000,1601	000,0000	000,0554	000,0000	
04.04.2022	09:00-10:00	000,1617	000,0000	000,0562	000,0000	
04.04.2022	10:00-11:00	000,1487	000,0000	000,0568	000,0000	
04.04.2022	11:00-12:00	000,1573	000,0000	000,0598	000,0000	
04.04.2022	12:00-13:00	000,1534	000,0000	000,0576	000,0000	
04.04.2022	13:00-14:00	000,1687	000,0000	000,0617	000,0000	
04.04.2022	14:00-15:00	000,1492	000,0000	000,0561	000,0000	
04.04.2022	15:00-16:00	000,1672	000,0000	000,0622	000,0000	
04.04.2022	16:00-17:00	000,1611	000,0000	000,0587	000,0000	
04.04.2022	17:00-18:00	000,1644	000,0000	000,0602	000,0000	
04.04.2022	18:00-19:00	000,1610	000,0000	000,0610	000,0000	
04.04.2022	19:00-20:00	000,1642	000,0000	000,0588	000,0000	
04.04.2022	20:00-21:00	000,1606	000,0000	000,0585	000,0000	
04.04.2022	21:00-22:00	000,1618	000,0000	000,0605	000,0000	
04.04.2022	22:00-23:00	000,1693	000,0000	000,0612	000,0000	
04.04.2022	23:00-24:00	000,1680	000,0000	000,0607	000,0000	
05.04.2022	00:00-01:00	000,1778	000,0000	000,0640	000,0000	
05.04.2022	01:00-02:00	000,1594	000,0000	000,0588	000,0000	
05.04.2022	02:00-03:00	000,1728	000,0000	000,0615	000,0000	
05.04.2022	03:00-04:00	000,1640	000,0000	000,0606	000,0000	
05.04.2022	04:00-05:00	000,1840	000,0000	000,0647	000,0000	
05.04.2022	05:00-06:00	000,1718	000,0000	000,0620	000,0000	
05.04.2022	06:00-07:00	000,1776	000,0000	000,0645	000,0000	
05.04.2022	07:00-08:00	000,1497	000,0000	000,0567	000,0000	
05.04.2022	08:00-09:00	000,1636	000,0000	000,0584	000,0000	
05.04.2022	09:00-10:00	000,1775	000,0000	000,0605	000,0000	
05.04.2022	10:00-11:00	000,1848	000,0000	000,0610	000,0000	
05.04.2022	11:00-12:00	000,1753	000,0000	000,0576	000,0000	
05.04.2022	12:00-13:00	000,1704	000,0000	000,0582	000,0000	
05.04.2022	13:00-14:00	000,1670	000,0000	000,0563	000,0000	
05.04.2022	14:00-15:00	000,1755	000,0000	000,0571	000,0000	
05.04.2022	15:00-16:00	000,1716	000,0000	000,0592	000,0000	
05.04.2022	16:00-17:00	000,1924	000,0000	000,0640	000,0000	
05.04.2022	17:00-18:00	000,1723	000,0000	000,0624	000,0000	
05.04.2022	18:00-19:00	000,1676	000,0000	000,0603	000,0000	
05.04.2022	19:00-20:00	000,1865	000,0000	000,0648	000,0000	
05.04.2022	20:00-21:00	000,1871	000,0000	000,0656	000,0000	
05.04.2022	21:00-22:00	000,1991	000,0000	000,0714	000,0000	
05.04.2022	22:00-23:00	000,2047	000,0000	000,0699	000,0000	
05.04.2022	23:00-24:00	000,1790	000,0000	000,0637	000,0000	
06.04.2022	00:00-01:00	000,1894	000,0000	000,0657	000,0000	
06.04.2022	01:00-02:00	000,2025	000,0000	000,0713	000,0000	
06.04.2022	02:00-03:00	000,1782	000,0000	000,0623	000,0000	
06.04.2022	03:00-04:00	000,1967	000,0000	000,0678	000,0000	
06.04.2022	04:00-05:00	000,1889	000,0000	000,0663	000,0000	
06.04.2022	05:00-06:00	000,1828	000,0000	000,0680	000,0000	
06.04.2022	06:00-07:00	000,1672	000,0000	000,0610	000,0000	
06.04.2022	07:00-08:00	000,0486	000,0000	000,0285	000,0000	
06.04.2022	08:00-09:00	000,0630	000,0000	000,0314	000,0000	
06.04.2022	09:00-10:00	000,0749	000,0000	000,0351	000,0000	
06.04.2022	10:00-11:00	000,0719	000,0000	000,0347	000,0000	
06.04.2022	11:00-12:00	000,0750	000,0000	000,0372	000,0000	
06.04.2022	12:00-13:00	000,0740	000,0000	000,0347	000,0000	
06.04.2022	13:00-14:00	000,1017	000,0000	000,0435	000,0000	
06.04.2022	14:00-15:00	000,0892	000,0000	000,0394	000,0000	
06.04.2022	15:00-16:00	000,0486	000,0000	000,0280	000,0000	
06.04.2022	16:00-17:00	000,1021	000,0000	000,0439	000,0000	
06.04.2022	17:00-18:00	000,0882	000,0000	000,0390	000,0000	
06.04.2022	18:00-19:00	000,0863	000,0000	000,0387	000,0000	
06.04.2022	19:00-20:00	000,0804	000,0000	000,0366	000,0000	
06.04.2022	20:00-21:00	000,0885	000,0000	000,0391	000,0000	
06.04.2022	21:00-22:00	000,0803	000,0000	000,0359	000,0000	
06.04.2022	22:00-23:00	000,0796	000,0000	000,0368	000,0000	
